issue_id,title_ru,issue_date,issue_no,cumulative_no,pages,municipalities,source_url
138,Запорожский вестник,2026-02-12,6,159,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv6a_2026.pdf
140,Запорожский вестник,2026-02-19,7,160,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv7a_2026.pdf
142,Запорожский вестник,2026-02-26,8,161,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv8a_2026.pdf
144,Запорожский вестник,2026-03-05,9,162,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv9a_2026.pdf
54,Запорожский вестник,2026-03-12,10,163,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv10a_2026.pdf
56,Запорожский вестник,2026-03-19,11,164,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv11a_2026.pdf
58,Запорожский вестник,2026-03-26,12,165,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv12a_2026.pdf
60,Запорожский вестник,2026-04-02,13,166,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv13a_2026.pdf
62,Запорожский вестник,2026-04-09,14,167,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv14a_2026.pdf
64,Запорожский вестник,2026-04-16,15,168,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv15a_2026.pdf
66,Запорожский вестник,2026-04-23,16,169,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv16a_2026.pdf
68,Запорожский вестник,2026-04-30,17,170,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv17a_2026.pdf
70,Запорожский вестник,2026-05-07,18,171,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv18a_2026.pdf
72,Запорожский вестник,2026-05-14,19,172,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv19a_2026.pdf
75,Запорожский вестник,2026-05-21,20,173,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv20a_2026.pdf
77,Запорожский вестник,2026-05-28,21,174,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv21a_2026.pdf
79,Запорожский вестник,2026-06-04,22,175,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv22a_2026.pdf
81,Запорожский вестник,2026-06-11,23,176,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv23a_2026.pdf
83,Запорожский вестник,2026-06-18,24,177,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv24a_2026.pdf
85,Запорожский вестник,2026-06-25,25,178,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv25a_2026.pdf
87,Запорожский вестник,2026-07-02,26,179,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv26a_2026.pdf
89,Запорожский вестник,2026-07-09,27,180,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv27a_2026.pdf
91,Запорожский вестник,2026-07-15,28,181,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv28a_2026.pdf
